Age,Gender,Nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
47,0,US,White,6,4,NY,3,4,4,5,5,1,4,4,4,4,2,4,3,2,5,2,2,4,4,4,2,4,3,3,4,1,4,4,4,4,2,4,4,2,5,2,3,4,5,4,3,4,3,4,3,2,3,5,4,3,2,4,5,4,4,2,4,4,5,4,2,4,4,3,4,2,4,4,5,4,3,4,4,3,4,1,4,4,4,4,2,5,2,3,5,2,4,3,4,3,1,4,4,4,4,1,2,4,4,4,6,6,5,5,6,2,2,2,1,2,6,3,2,3,4,4,4,3,4,5,4,54,26,12,43,14,71,51,57,62,55,6
30,0,US,White,6,4,TX,4,2,2,2,2,2,4,5,1,3,4,3,2,2,2,4,4,5,2,2,4,2,2,2,2,2,5,4,2,3,4,3,3,2,1,3,5,4,2,2,4,4,2,2,2,2,5,2,2,2,5,4,4,2,1,2,4,4,2,2,4,4,2,2,2,2,5,4,2,2,4,2,3,2,2,2,4,4,2,3,5,4,2,2,2,3,5,4,2,4,4,3,2,1,3,2,4,3,1,2,2,5,5,4,3,1,6,2,3,2,6,5,7,5,6,5,2,1,2,4,64,23,70,39,37,39,94,96,73,44,87,85
25,0,US,Other,2,5,IL,5,5,5,1,3,5,3,5,1,5,5,5,1,1,2,5,5,5,1,5,5,4,1,1,2,4,5,5,1,3,4,5,5,1,3,1,5,5,1,4,5,5,3,5,4,4,5,5,1,1,5,5,3,3,1,5,5,5,1,3,5,5,4,1,2,5,5,5,1,3,5,5,3,1,4,5,5,5,2,5,5,5,2,1,1,5,3,5,3,5,4,5,2,4,1,5,3,5,1,3,7,5,4,7,5,1,4,1,1,1,1,7,4,7,7,7,7,7,7,7,10,0,0,0,0,75,51,5,0,10,100,10
27,1,US,Black,5,3,TX,4,3,4,3,3,3,3,2,3,5,4,5,2,2,3,4,3,3,3,5,3,4,1,1,3,4,4,2,3,4,3,3,3,2,3,3,3,3,3,5,4,3,3,2,4,4,4,4,3,2,4,3,3,3,1,4,3,5,3,4,4,3,2,2,3,4,4,4,3,4,4,3,3,4,3,4,5,3,3,5,3,3,2,3,3,4,3,3,2,5,3,3,1,3,3,3,3,5,3,5,4,5,4,4,5,3,3,3,4,3,4,4,4,4,4,4,4,2,4,4,40,50,51,50,50,25,50,50,55,53,50,50
48,1,US,White,6,5,WY,1,4,4,4,4,2,5,5,4,5,2,3,5,4,5,4,5,5,2,3,2,4,5,5,4,2,4,5,3,3,1,5,5,3,3,2,5,3,4,1,1,4,5,4,1,1,4,5,5,5,3,5,5,3,5,1,5,4,4,5,1,5,3,5,2,1,5,5,3,2,1,4,3,5,3,4,5,5,3,1,1,5,4,3,4,3,5,5,2,2,1,5,5,4,4,2,4,4,3,4,3,4,3,4,4,5,5,6,3,6,5,4,5,4,3,4,4,3,3,4,100,100,100,100,100,100,100,100,51,51,100,100
39,0,US,White,6,4,GA,2,5,5,5,5,2,4,5,4,5,4,5,5,4,4,2,5,5,5,5,1,5,4,5,5,2,4,5,4,5,2,5,5,5,4,2,5,4,4,5,1,5,5,5,5,1,4,5,5,5,4,5,5,4,5,1,3,4,4,5,2,5,4,5,5,2,5,5,4,5,2,5,2,5,5,2,5,3,4,4,2,5,4,5,5,2,5,3,4,3,3,5,3,4,5,2,4,5,5,5,7,7,7,7,7,2,1,4,3,7,3,4,2,3,6,3,6,6,6,7,0,50,50,5,30,0,50,10,75,10,50,50
25,0,US,White,6,7,MD,4,2,3,1,4,1,4,4,1,3,4,3,1,3,4,2,5,5,1,1,4,2,2,3,5,1,5,5,1,3,3,4,5,1,1,1,5,5,1,4,4,4,5,2,4,2,5,5,1,1,5,5,5,1,4,1,5,5,1,1,4,4,2,1,4,2,4,5,1,1,4,1,3,4,4,2,5,5,4,2,3,4,1,1,4,1,1,5,1,1,3,4,4,4,4,2,5,5,1,2,7,6,6,4,7,1,1,2,2,1,1,3,2,4,5,3,4,4,4,4,26,8,14,17,39,10,26,31,86,50,51,9
45,0,US,White,2,1,CO,4,2,4,2,2,4,2,5,4,5,5,5,4,2,2,5,5,3,1,5,4,4,4,2,4,5,5,5,1,4,4,2,5,2,3,2,5,4,2,5,4,5,5,2,4,4,5,5,4,4,5,4,4,3,4,2,4,4,2,5,4,4,3,3,4,4,5,5,2,5,4,2,2,4,2,4,5,2,2,5,4,5,2,4,2,5,5,4,2,5,4,4,4,4,4,4,4,4,2,5,7,7,6,3,7,2,4,2,4,1,2,5,1,6,7,4,7,5,5,4,41,0,0,51,7,0,41,0,50,23,41,0
36,0,US,White,6,5,FL,1,3,4,5,5,1,3,3,4,4,1,3,3,4,5,3,1,3,5,4,2,4,2,4,5,1,1,2,1,4,1,4,3,2,5,2,2,2,4,4,2,4,3,4,5,1,4,2,5,4,4,4,2,4,5,2,3,1,4,4,1,4,4,4,5,1,3,2,4,3,2,4,4,5,4,2,3,2,3,5,1,4,4,5,5,1,4,1,4,5,1,5,4,5,4,1,1,2,5,4,5,3,5,5,2,5,5,5,2,6,5,3,4,3,2,3,1,2,6,6,0,83,80,17,92,74,8,5,80,72,25,80
37,1,US,White,2,3,KY,4,5,4,2,4,4,4,4,2,5,4,5,4,2,4,5,5,4,2,5,4,5,4,2,4,4,5,2,2,5,4,5,4,2,4,4,5,4,2,4,4,4,4,2,4,5,4,4,2,5,5,5,5,5,5,4,4,4,1,5,4,5,4,4,4,4,4,4,2,4,5,5,2,4,4,5,4,5,1,4,4,5,4,4,4,5,5,4,2,4,5,5,4,5,4,4,4,5,2,4,6,6,5,5,6,2,2,2,5,2,3,3,3,3,3,3,5,5,4,5,55,29,63,61,28,16,49,33,78,74,78,63
31,0,US,White,6,4,FL,5,3,4,1,3,2,4,4,2,4,5,5,3,1,3,2,5,3,2,4,4,2,3,1,4,3,5,3,1,5,3,4,4,1,4,2,5,3,1,3,5,5,4,1,4,3,5,3,3,3,5,5,4,1,5,2,5,2,1,4,4,3,2,2,2,2,5,3,1,3,5,2,1,2,2,2,5,3,2,4,4,5,4,2,2,2,5,4,2,4,4,3,4,1,2,3,3,4,1,4,6,7,4,1,4,4,2,6,2,4,5,3,4,4,3,5,3,3,4,6,60,20,70,15,40,35,50,25,50,60,50,25
40,1,US,White,6,6,KS,1,5,5,5,4,1,4,5,5,5,1,4,5,5,5,1,2,4,4,5,1,5,5,5,5,1,4,5,5,4,1,5,5,4,5,1,5,5,4,3,1,5,5,5,4,1,5,4,5,4,1,5,5,2,5,1,5,4,5,4,1,5,5,5,4,1,5,4,4,3,1,5,5,3,5,1,5,5,4,2,1,5,5,3,5,1,4,2,4,2,1,5,5,4,5,1,5,3,5,5,2,7,5,7,6,5,4,6,4,4,7,1,2,2,1,3,2,1,5,4,90,95,95,50,5,50,50,50,95,70,100,100
33,0,US,White,6,4,MO,4,4,5,4,5,1,4,5,3,5,2,4,5,3,4,1,2,5,3,4,2,4,4,3,5,2,4,5,4,4,2,4,4,4,4,1,4,4,3,3,3,4,3,4,4,2,4,4,4,4,2,4,4,4,4,2,5,3,4,4,2,3,4,4,4,2,5,5,3,4,1,4,5,4,4,3,4,3,3,3,2,4,4,4,4,1,4,4,4,4,1,3,2,3,5,3,3,4,4,4,5,6,5,5,6,5,5,5,4,3,5,4,4,3,4,4,5,4,4,5,50,67,84,82,45,9,73,81,77,52,81,84
28,0,US,White,6,5,WA,4,3,3,2,3,3,3,3,3,3,4,3,4,4,3,3,4,4,4,3,3,5,3,3,4,3,3,3,3,4,2,4,4,4,4,2,4,3,3,5,4,4,3,3,3,2,2,3,2,4,3,3,3,3,3,3,4,3,4,4,3,3,5,4,3,3,4,2,3,2,4,3,4,3,4,2,3,3,4,4,2,3,3,3,3,3,3,3,2,3,2,3,4,4,4,3,3,4,3,4,4,3,4,4,3,4,3,2,3,2,4,4,6,4,3,4,4,5,4,5,67,31,29,21,80,37,26,33,31,45,31,29
37,1,US,Other,4,2,MD,5,1,1,1,1,5,1,1,1,1,4,5,1,2,1,5,5,4,1,5,5,1,1,1,1,5,5,1,1,1,5,2,1,1,1,5,1,1,1,5,5,5,1,1,1,5,5,5,1,1,5,2,1,5,1,5,5,5,1,5,5,1,1,5,1,5,2,5,1,1,5,1,1,1,1,5,5,2,2,5,5,5,1,1,2,5,5,1,1,5,5,1,1,1,1,5,1,1,5,1,7,7,7,7,7,1,1,1,5,1,5,1,1,1,7,1,7,7,7,7,47,52,51,0,13,53,51,84,84,13,50,0
38,0,US,Hispanic,3,2,TX,2,4,4,1,4,2,4,5,4,4,2,3,5,4,2,2,2,4,4,4,3,4,5,2,4,2,3,4,2,4,2,4,4,1,4,2,5,4,4,4,3,4,4,2,3,2,5,2,4,5,4,5,4,2,4,3,4,4,4,5,3,5,5,3,4,2,4,3,4,4,2,4,4,4,4,2,5,2,3,5,2,4,5,3,2,2,4,4,4,2,3,5,5,1,4,3,4,4,4,4,6,6,5,6,5,6,3,5,6,4,6,3,4,3,3,2,4,4,2,6,71,91,66,24,74,42,11,7,74,82,71,70
27,0,US,White,3,4,CO,1,5,4,3,4,2,2,2,5,5,4,5,3,4,5,2,3,4,5,5,1,5,3,2,5,2,4,2,4,5,1,4,4,2,5,2,4,2,5,5,1,5,5,5,5,4,2,4,2,5,4,4,4,4,4,2,3,4,5,5,1,4,4,4,5,4,2,1,5,5,2,5,4,5,4,3,2,2,5,5,5,5,2,4,4,2,4,4,5,5,2,4,1,5,5,2,4,5,5,5,1,1,1,7,1,7,7,7,7,1,7,7,7,7,7,7,1,1,1,1,100,100,55,100,100,100,100,100,100,35,100,65
