Age,Gender,nationality,Ethnicity,Education,Income,State,BFAS_1,BFAS_2,BFAS_3,BFAS_4,BFAS_5,BFAS_6,BFAS_7,BFAS_8,BFAS_9,BFAS_10,BFAS_11,BFAS_12,BFAS_13,BFAS_14,BFAS_15,BFAS_16,BFAS_17,BFAS_18,BFAS_19,BFAS_20,BFAS_21,BFAS_22,BFAS_23,BFAS_24,BFAS_25,BFAS_26,BFAS_27,BFAS_28,BFAS_29,BFAS_30,BFAS_31,BFAS_32,BFAS_33,BFAS_34,BFAS_35,BFAS_36,BFAS_37,BFAS_38,BFAS_39,BFAS_40,BFAS_41,BFAS_42,BFAS_43,BFAS_44,BFAS_45,BFAS_46,BFAS_47,BFAS_48,BFAS_49,BFAS_50,BFAS_51,BFAS_52,BFAS_53,BFAS_54,BFAS_55,BFAS_56,BFAS_57,BFAS_58,BFAS_59,BFAS_60,BFAS_61,BFAS_62,BFAS_63,BFAS_64,BFAS_65,BFAS_66,BFAS_67,BFAS_68,BFAS_69,BFAS_70,BFAS_71,BFAS_72,BFAS_73,BFAS_74,BFAS_75,BFAS_76,BFAS_77,BFAS_78,BFAS_79,BFAS_80,BFAS_81,BFAS_82,BFAS_83,BFAS_84,BFAS_85,BFAS_86,BFAS_87,BFAS_88,BFAS_89,BFAS_90,BFAS_91,BFAS_92,BFAS_93,BFAS_94,BFAS_95,BFAS_96,BFAS_97,BFAS_98,BFAS_99,BFAS_100,FPPosture1,FPPosture2,FPPosture3,FPPosture4,FPPosture5,FPPosture6,FPPosture7,FPPosture8,FPPosture9,FPPosture10,FPPosture11,FPPosture12,FPPosture13,FPPosture14,FPPosture15,FPPosture16,FPPosture17,FPPosture18,FPPosture19,FPPosture20,SECS_1,SECS_2,SECS_3,SECS_4,SECS_5,SECS_6,SECS_7,SECS_8,SECS_9,SECS_10,SECS_11,SECS_12
66,0,US,1,6,5,Indiana,3,4,4,4,4,1,5,4,4,5,2,3,4,3,4,4,2,3,4,4,2,3,4,3,4,1,3,4,2,4,1,4,4,3,4,2,4,3,3,3,2,3,5,4,1,2,3,2,4,4,3,2,2,3,3,1,4,4,4,3,2,5,3,4,3,5,4,1,2,4,2,2,5,4,4,2,3,3,3,3,2,5,4,4,4,2,2,4,3,3,2,4,5,4,5,2,3,4,3,4,5,6,5,5,6,5,6,4,5,4,5,3,5,2,6,5,3,5,4,5,81,36,86,43,6,35,57,87,58,80,42,81
32,0,US,1,2,4,Pennsylvania,4,1,4,4,5,1,3,1,4,3,3,3,2,2,2,2,1,4,5,5,2,1,1,1,4,4,5,5,5,5,5,2,4,2,4,2,1,5,5,2,2,5,5,4,5,4,2,2,2,1,4,1,1,2,4,1,5,4,4,1,4,5,5,1,4,1,5,2,2,4,1,2,4,5,4,2,5,3,2,2,3,5,3,4,2,4,5,4,5,1,2,4,1,4,1,4,1,4,2,4,5,6,4,5,6,4,5,5,5,3,4,5,5,4,6,5,4,5,3,4,58,82,80,80,17,64,81,88,75,68,77,77
42,1,US,2,8,5,OH,1,1,4,4,5,5,4,2,5,5,5,5,1,1,2,2,2,5,5,4,2,4,2,1,4,5,5,5,1,5,4,1,2,2,4,2,1,5,5,5,1,5,5,4,2,4,4,1,2,1,4,1,1,2,2,2,5,5,4,1,4,1,4,1,5,4,2,2,5,4,1,4,5,4,5,1,2,4,2,1,4,2,2,5,2,5,2,5,5,1,4,4,2,4,4,5,2,4,1,4,5,5,6,7,6,6,6,7,7,3,6,5,7,3,6,6,6,7,2,5,11,63,68,72,10,80,77,84,72,85,75,82
38,0,US,1,2,4,INDIANA,2,1,5,5,5,5,5,1,5,5,5,5,1,1,1,3,1,5,5,5,1,5,1,1,5,5,5,5,2,5,5,1,1,1,5,1,2,5,5,5,2,5,5,5,1,5,5,1,1,1,5,1,1,1,1,1,5,5,5,1,5,1,5,1,5,5,1,1,5,5,1,5,5,5,5,1,1,1,1,1,5,1,1,5,1,5,1,5,5,1,5,5,1,5,5,4,1,5,1,5,7,7,7,7,7,7,7,7,7,3,7,7,7,1,7,7,7,7,1,7,6,72,66,84,28,76,80,72,58,91,82,64
59,0,US,1,6,5,Indiana,2,4,4,4,4,4,4,2,4,3,3,4,4,2,3,3,2,4,4,5,2,3,2,4,4,2,3,3,2,3,2,4,2,2,4,1,3,5,4,4,2,3,4,4,3,4,4,2,3,4,3,2,5,3,4,3,3,4,4,3,3,4,4,4,4,3,3,2,3,4,2,4,4,4,4,2,3,4,3,3,3,4,4,4,3,3,2,4,3,2,3,4,4,4,5,4,3,3,3,3,5,5,5,4,6,5,5,5,6,2,4,5,4,4,5,5,5,5,3,5,78,54,75,86,17,57,81,81,73,75,82,70
41,0,US,1,6,6,INDIANA,3,3,4,4,3,4,3,3,4,3,4,4,3,3,2,2,3,4,3,3,2,4,2,2,3,4,4,4,2,4,4,2,3,2,3,2,2,3,4,3,2,4,3,4,2,4,4,2,2,3,4,3,2,3,3,3,4,3,3,2,4,2,3,2,4,4,3,2,4,4,2,4,4,4,4,2,2,3,2,3,4,3,3,3,2,4,3,3,3,3,4,3,2,4,4,4,3,3,2,4,5,5,5,4,6,6,3,5,5,3,5,4,6,3,5,3,5,4,3,4,9,77,75,80,22,86,85,86,86,78,86,76
50,0,US,1,6,4,TEXAS,4,4,4,4,4,2,4,4,4,5,4,4,4,2,2,2,2,4,4,4,2,4,1,4,4,4,2,4,2,4,3,4,2,2,4,2,2,4,4,4,2,4,4,4,4,2,4,2,2,4,4,1,2,4,2,4,4,4,4,4,4,4,4,4,5,4,5,2,4,4,2,4,4,4,4,2,4,4,2,2,4,5,2,4,2,4,2,4,4,4,2,5,4,4,4,4,2,4,2,4,6,6,6,6,6,4,3,5,6,3,5,5,3,2,2,6,6,6,3,6,56,71,77,68,12,69,50,67,67,65,77,75
67,1,US,1,6,1,PA,3,1,5,5,5,1,4,5,5,5,1,5,5,1,1,1,2,2,5,5,1,5,4,3,5,1,3,5,5,4,1,1,1,5,5,1,5,5,5,2,1,5,5,5,1,1,5,4,1,2,5,1,1,1,1,1,5,5,4,1,1,5,5,5,4,1,5,1,5,5,1,2,5,5,5,2,2,1,5,5,4,1,5,5,4,2,1,5,5,5,1,5,5,5,5,5,1,5,2,4,5,6,7,7,7,7,5,7,5,1,6,3,5,3,5,5,7,6,3,5,100,0,100,100,0,0,100,100,100,100,100,0
40,1,US,1,6,5,Indiana,3,5,4,5,5,1,4,3,4,5,3,5,5,2,5,3,2,4,4,5,1,3,4,4,5,2,2,3,3,5,3,2,3,2,4,3,4,5,3,4,2,3,5,4,4,4,3,2,2,4,1,1,5,4,5,3,3,4,4,3,2,4,4,4,3,4,5,3,4,4,2,5,4,5,5,2,5,4,3,3,3,5,4,5,4,2,2,4,3,3,2,4,4,5,4,3,1,4,4,4,5,6,6,7,7,6,4,5,4,5,4,5,4,2,4,4,5,4,3,6,80,82,85,85,21,45,100,100,58,98,89,100
40,1,US,1,7,5,DC,3,2,3,5,4,4,4,2,5,4,4,5,3,1,2,3,2,4,5,4,2,5,2,1,4,3,5,5,1,4,3,3,2,2,4,1,2,5,5,5,1,4,4,5,2,5,5,2,1,2,3,1,2,2,2,1,4,4,4,2,3,3,5,1,4,5,3,1,4,4,2,4,4,4,4,2,2,3,2,2,4,1,1,5,2,4,2,4,4,2,4,4,3,5,5,5,3,5,2,4,7,5,6,6,5,6,6,5,7,3,6,6,6,3,5,5,6,6,3,6,61,65,77,53,36,35,70,65,68,70,59,55
